Timer; Mag_X;Mag_Y;Mag_Z;Light ;Position
2255;148;-129;-512;305280;0,00
2297;148;-129;-512;305280;0,00
2339;148;-129;-512;305280;0,00
2381;147;-129;-510;305280;0,00
2423;147;-129;-510;305280;0,00
2465;147;-129;-510;305280;0,00
2507;147;-129;-512;305280;0,00
2550;147;-129;-512;305280;0,00
2592;147;-129;-512;305280;0,00
2634;147;-129;-512;305280;0,00
2676;148;-130;-512;305280;0,00
2718;148;-130;-512;305280;0,00
2760;148;-130;-512;305280;0,00
2802;148;-129;-511;305280;0,00
2844;148;-129;-511;305280;0,00
2886;146;-129;-512;305280;0,00
2930;146;-129;-512;305280;0,00
2972;148;-129;-513;305280;0,00
3015;148;-129;-513;305280;0,00
3057;148;-129;-513;305280;0,00
3099;147;-129;-513;305280;0,00
3142;147;-129;-513;305280;0,00
3184;148;-130;-512;305280;0,00
3226;148;-130;-512;305280;0,00
3268;147;-129;-512;305280;0,00
3311;147;-129;-512;305280;0,00
3353;147;-129;-512;305280;0,00
3395;148;-130;-512;305280;0,00
3438;148;-130;-512;305280;0,00
3480;147;-129;-511;305280;0,00
3522;147;-129;-511;305280;0,00
3564;147;-129;-511;305280;0,00
3607;148;-129;-512;305280;0,00
3648;148;-129;-512;305280;0,00
3690;148;-131;-512;305280;0,00
3733;148;-131;-512;305280;0,00
3775;147;-130;-512;305280;0,00
3817;147;-130;-512;305280;0,00
3859;147;-130;-512;305280;0,00
3902;148;-131;-511;305280;0,00
3944;148;-131;-511;302400;0,00
3986;147;-130;-512;302400;0,00
4028;147;-130;-512;302400;0,00
4071;147;-130;-512;302400;0,00
4113;148;-129;-513;302400;0,00
4155;148;-129;-513;302400;0,00
4197;147;-130;-511;302400;0,00
4240;147;-130;-511;302400;0,00
4282;147;-130;-512;302400;0,00
4326;147;-130;-512;302400;0,00
4368;147;-130;-512;302400;0,00
4410;148;-129;-511;302400;0,00
4453;148;-129;-511;302400;0,00
4495;146;-129;-511;302400;0,00
4537;146;-129;-511;302400;0,00
4580;148;-129;-512;302400;0,00
4622;148;-129;-512;302400;0,00
4665;148;-129;-512;302400;0,00
4707;147;-129;-513;302400;0,00
4749;147;-129;-513;302400;0,00
4791;147;-130;-512;302400;0,00
4834;147;-130;-512;302400;0,00
4876;147;-129;-512;302400;0,00
4918;147;-129;-512;302400;0,00
4960;147;-129;-512;302400;0,00
5003;146;-131;-512;302400;0,00
5046;146;-131;-512;302400;0,00
5089;146;-129;-512;302400;0,00
5131;146;-129;-512;302400;0,00
5173;146;-129;-512;302400;0,00
5215;147;-128;-511;302400;0,00
5258;147;-128;-511;302400;0,00
5300;147;-129;-512;302400;0,00
5342;147;-129;-512;302400;0,00
5384;147;-129;-511;302400;0,00
5427;147;-129;-511;302400;0,00
5469;147;-129;-511;302400;0,00
5511;147;-129;-512;302400;0,00
5554;147;-129;-512;302400;0,00
5596;148;-129;-511;302400;0,00
5638;148;-129;-511;302400;0,00
5680;148;-129;-512;302400;0,00
5724;148;-129;-512;305280;0,00
5767;148;-129;-512;305280;0,00
5809;147;-129;-512;305280;0,00
5852;147;-129;-512;305280;0,00
5894;146;-130;-511;305280;0,00
5936;146;-130;-511;305280;0,00
5979;149;-129;-512;305280;0,00
6021;149;-129;-512;302400;0,00
6063;149;-129;-512;302400;0,00
6105;146;-129;-512;302400;0,00
6148;146;-129;-512;305280;0,00
6190;147;-128;-512;305280;0,00
6232;147;-128;-512;305280;0,00
6274;147;-128;-512;305280;0,00
6317;148;-129;-511;305280;0,00
6359;148;-129;-511;305280;0,00
6401;146;-129;-511;305280;0,00
6445;146;-129;-511;308160;0,00
6487;147;-129;-512;308160;0,00
6530;147;-129;-512;308160;0,00
6572;147;-129;-512;308160;0,00
6614;148;-128;-511;311040;0,00
6656;148;-128;-511;311040;0,00
6699;147;-129;-512;311040;0,00
6741;147;-129;-512;311040;0,00
6783;147;-129;-512;311040;0,00
6826;147;-129;-512;313920;0,00
6868;147;-129;-512;313920;0,00
6910;148;-128;-512;313920;0,00
6952;148;-128;-512;313920;0,00
6995;147;-129;-512;313920;0,00
7037;147;-129;-512;311040;0,00
7079;147;-129;-512;311040;0,00
7124;147;-130;-512;311040;0,00
7166;147;-130;-512;311040;0,00
7208;148;-129;-512;311040;0,00
7250;148;-129;-512;311040;0,00
7292;149;-130;-512;311040;0,00
7334;149;-130;-512;311040;0,00
7376;149;-130;-512;311040;0,00
7418;145;-125;-503;308160;0,00
7460;145;-125;-503;308160;0,00
7502;136;-119;-486;308160;0,00
7545;136;-119;-486;308160;0,00
7587;128;-110;-472;308160;0,00
7629;128;-110;-472;308160;0,00
7671;128;-110;-472;308160;0,00
7713;119;-104;-455;308160;0,00
7755;119;-104;-455;308160;0,00
7797;112;-97;-442;308160;0,00
7841;112;-97;-442;311040;0,00
7883;103;-91;-431;311040;0,01
7926;103;-91;-431;313920;0,01
7968;103;-91;-431;313920;0,01
8010;98;-86;-416;313920;0,02
8052;98;-86;-416;313920;0,02
8094;89;-79;-401;313920;0,02
8136;89;-79;-401;313920;0,03
8178;89;-79;-401;313920;0,03
8220;82;-72;-385;316800;0,04
8262;82;-72;-385;316800;0,04
8304;79;-69;-375;316800;0,04
8347;79;-69;-375;316800;0,05
8389;75;-66;-365;316800;0,05
8432;75;-66;-365;316800;0,05
8474;75;-66;-365;316800;0,06
8516;70;-61;-355;316800;0,06
8560;70;-61;-355;316800;0,06
8602;64;-56;-342;316800;0,07
8644;64;-56;-342;316800;0,07
8686;58;-53;-335;316800;0,07
8729;58;-53;-335;316800;0,08
8771;58;-53;-335;316800;0,08
8813;58;-52;-330;316800;0,08
8855;58;-52;-330;316800;0,09
8898;56;-48;-321;316800;0,09
8940;56;-48;-321;313920;0,10
8982;56;-48;-321;313920;0,10
9024;55;-47;-318;316800;0,10
9067;55;-47;-318;316800;0,11
9109;47;-40;-303;316800;0,11
9151;47;-40;-303;316800;0,11
9194;42;-39;-294;316800;0,12
9236;42;-39;-294;319680;0,12
9278;42;-39;-294;319680;0,12
9322;38;-36;-282;325440;0,13
9364;38;-36;-282;325440;0,13
9406;35;-33;-276;325440;0,13
9449;35;-33;-276;325440;0,14
9491;33;-32;-270;325440;0,14
9533;33;-32;-270;328320;0,14
9575;33;-32;-270;328320;0,15
9618;30;-31;-263;328320;0,15
9660;30;-31;-263;331200;0,16
9703;29;-27;-256;331200;0,16
9745;29;-27;-256;334080;0,16
9787;29;-27;-256;334080;0,17
9830;26;-25;-251;334080;0,17
9872;26;-25;-251;334080;0,17
9914;21;-23;-242;334080;0,18
9956;21;-23;-242;336960;0,18
9999;20;-21;-238;336960;0,18
10042;20;-21;-238;336960;0,19
10085;20;-21;-238;336960;0,19
10127;18;-22;-234;339840;0,19
10169;18;-22;-234;339840;0,20
10212;15;-19;-229;339840;0,20
10391;14;-18;-224;345600;0,20
10513;10;-14;-214;348480;0,21
10555;10;-14;-214;348480;0,21
10598;8;-14;-211;348480;0,22
10640;8;-14;-211;351360;0,22
10682;8;-14;-211;351360;0,22
10724;7;-14;-207;357120;0,23
10767;7;-14;-207;357120;0,23
10809;4;-12;-202;357120;0,23
10851;4;-12;-202;357120;0,24
10893;4;-10;-199;357120;0,24
10936;4;-10;-199;354240;0,24
10978;4;-10;-199;354240;0,25
11022;2;-9;-195;354240;0,25
11064;2;-9;-195;354240;0,25
11106;1;-9;-192;354240;0,26
11148;1;-9;-192;354240;0,26
11191;1;-9;-192;354240;0,26
11233;-1;-8;-186;354240;0,27
11275;-1;-8;-186;354240;0,27
11317;-3;-6;-184;354240;0,28
11360;-3;-6;-184;351360;0,28
11402;-4;-7;-181;351360;0,28
11444;-4;-7;-181;351360;0,29
11486;-4;-7;-181;351360;0,29
11529;-6;-6;-179;351360;0,29
11571;-6;-6;-179;351360;0,30
11613;-5;-4;-175;351360;0,30
11655;-5;-4;-175;351360;0,30
11698;-7;-4;-172;351360;0,31
11740;-7;-4;-172;351360;0,31
11785;-7;-4;-172;351360;0,31
11827;-8;-4;-169;354240;0,32
11869;-8;-4;-169;354240;0,32
11912;-9;-2;-167;354240;0,32
11954;-9;-2;-167;354240;0,33
11996;-10;-4;-164;354240;0,33
12038;-10;-4;-164;354240;0,34
12081;-10;-4;-164;354240;0,34
12123;-11;0;-160;354240;0,34
12165;-11;0;-160;357120;0,35
12207;-13;-1;-156;357120;0,35
